Skill,Count
python,4841
sql,4825
data analysis,3295
machine learning,2697
communication,2508
data visualization,2332
aws,1760
project management,1742
data engineering,1725
communication skills,1713
tableau,1710
data science,1697
r,1556
data modeling,1520
data management,1472
java,1439
problem solving,1410
data warehousing,1409
spark,1408
data analytics,1406
teamwork,1227
analytical skills,1219
data governance,1209
cloud computing,1126
hadoop,1090
attention to detail,1082
collaboration,1078
computer science,1077
snowflake,1061
power bi,1050
scala,1046
statistics,1031
data mining,1027
business intelligence,1021
etl,1000
problemsolving,999
agile,997
data quality,926
azure,926
bachelor's degree,925
leadership,895
data integration,889
linux,883
reporting,828
data pipelines,776
excel,769
nosql,747
data architecture,744
kafka,730
troubleshooting,729
data security,694
tensorflow,682
artificial intelligence,672
software development,656
time management,651
hive,635
big data,634
engineering,622
deep learning,612
pytorch,606
statistical analysis,602
kubernetes,575
unix,556
interpersonal skills,555
redshift,531
mysql,529
software engineering,524
critical thinking,516
docker,514
databricks,508
jira,496
devops,489
organizational skills,486
oracle,469
problemsolving skills,458
presentation skills,451
analytics,443
gcp,443
data integrity,432
ci,431
git,429
sas,427
agile development,422
airflow,420
data transformation,419
sql server,415
data collection,415
customer service,414
microsoft office suite,413
c++,412
documentation,411
mathematics,409
written communication,403
mentoring,403
automation,385
data manipulation,384
risk management,383
powerbi,378
emr,372
cassandra,370
data processing,370
data interpretation,358
multitasking,358
databases,357
pyspark,355
data extraction,351
ai,350
a,347
quality control,342
research,338
b testing,337
natural language processing,337
statistical modeling,336
microsoft office,334
data reporting,331
adaptability,331
scrum,331
data entry,330
business analysis,329
flexibility,329
microsoft excel,318
relational databases,311
apache spark,310
data cleansing,308
verbal communication,303
cd,302
data privacy,302
master's degree,298
mongodb,297
data validation,291
pandas,290
nlp,289
mapreduce,289
microsoft azure,287
data migration,286
database design,285
s3,280
prioritization,278
compliance,276
monitoring,274
scikitlearn,274
change management,273
google cloud,273
stakeholder management,272
programming,271
data structures,269
shell scripting,268
data warehouse,266
team leadership,266
quality assurance,262
gurobi,260
database administration,259
distributed systems,258
training,251
testing,248
analytical thinking,247
innovation,244
numpy,243
finance,242
security,242
postgresql,240
data storage,240
database management,238
technical writing,233
algorithms,233
decision making,227
agile methodologies,224
unit testing,222
performance tuning,218
business acumen,217
javascript,217
rdbms,217
data profiling,214
big data technologies,213
economics,210
computer vision,210
reinforcement learning,210
confluence,209
powerpoint,208
jenkins,208
ssis,207
terraform,207
data cleaning,207
data protection,205
experimentation,204
data lakes,204
azure data factory,203
mongo,203
microservices,202
information technology,201
predictive modeling,199
data preparation,197
organization,196
process improvement,196
sap,195
information systems,193
c#,192
continuous integration,192
agile engineering practices,191
optimization,191
looker,190
dashboards,187
networking,186
data lake,186
scalability,184
tsql,183
dbt,183
google cloud platform,182
json,180
accuracy,180
product management,179
cybersecurity,179
data modelling,178
postgres,178
crossfunctional collaboration,176
deployment,174
hypothesis testing,172
forecasting,172
generative ai,172
pl,171
github,171
informatica,171
medical technology,171
distributed computing,170
regulatory compliance,169
design,169
data ingestion,169
mlops,169
windows,167
scripting,167
nosql databases,166
presentation,162
xml,162
ts,161
bash,161
data mapping,161
data accuracy,160
equal opportunity employer,160
datadriven decision making,158
development,158
programming languages,156
diversity,156
predictive analytics,155
matlab,154
scheduling,153
master data management,153
llms,153
business requirements,152
chemistry,152
etl processes,152
team management,151
data models,150
microsoft sql server,148
electrical engineering,147
elt,146
c,146
data warehouses,146
statistical methods,145
data lineage,145
business analytics,145
stored procedures,143
data quality management,143
planning,142
autonomy,141
data strategy,141
model deployment,140
requirements gathering,140
team collaboration,138
travel,138
sharepoint,137
inclusion,137
root cause analysis,136
initiative,135
modeling,135
open source rdbms,135
lambda,134
salesforce,134
data standards,134
kanban,133
realtime data,133
probabilistic graphs,133
powershell,132
vendor management,132
ml,132
leadership skills,131
data gathering,131
ssrs,131
medical technologist,130
etl pipelines,130
high school diploma,130
operating systems,129
microsoft word,129
analysis,128
confidentiality,128
people management,128
maintenance,127
metadata management,127
azure devops,127
independent work,127
cism,126
workflow orchestration,126
feature engineering,125
alteryx,125
cloud services,125
report writing,124
cissp,124
word,124
streaming applications,122
coaching,122
healthcare,121
consulting,121
quantitative analysis,120
team player,120
statistical techniques,120
program management,120
negotiation,120
visualization,120
budgeting,120
disaster recovery,119
data infrastructure,118
product development,118
selfmotivation,117
data presentation,117
life insurance,117
performance optimization,116
product ownership,116
distributed data,116
distributed microservices,115
clustering,115
data center operations,115
business,115
advanced analytics,115
cloud platforms,114
accounting,114
apis,114
keras,114
agile methodology,114
fastpaced environment,114
saas,114
paid time off,114
jupyter,113
cisa,112
financial services,112
creativity,112
continuous improvement,112
cloud,112
database development,112
spss,111
mlflow,109
ascp certification,109
bigquery,109
data architect,108
sci clearance,107
oral communication,107
financial analysis,107
ms excel,107
risk assessment,107
medical laboratory technician,106
architecture,106
collaboration skills,106
technical skills,106
ms office,105
data quality assurance,105
safety,105
teamfirst mentality,105
gdpr,104
physics,104
amazon web services,104
hiring,103
html,103
etl tools,103
data standardization,103
strategic thinking,102
vision,101
regression,101
model training,101
ascp,101
decisionmaking,101
virtualization,100
cloud technologies,100
technology,99
microbiology,99
strategic planning,99
application development,99
english,99
metadata,99
computing tools,99
inventory management,99
coding,99
model evaluation,98
data loading,98
security+,98
management,98
hbase,98
medical laboratory science,98
data acquisition,98
construction management,98
stakeholder engagement,97
information security,97
mechanical engineering,97
pig,97
go,97
azure databricks,97
apache airflow,97
sales,96
hematology,96
data visualization tools,96
business development,96
ansible,96
elasticsearch,96
systems engineering,95
ml ops,95
marketing,95
diversity and inclusion,94
golang,94
software architecture,94
sdlc,94
neural networks,93
db2,93
debugging,93
ccsp,92
relationship building,92
data wrangling,92
software,91
operations,91
implementation,91
database security,91
microsoft power bi,90
system design,90
remote work,90
dask,89
clinical experience,89
code reviews,89
data stewardship,89
numba,88
data classification,88
detailoriented,88
access,88
version control,87
containerization,86
data compliance,86
glue,86
google analytics,86
team work,86
graph databases,85
giac,85
data loss prevention (dlp),84
healthcare data,84
aws cloud practitioner,84
operations research,84
best practices,84
data preprocessing,83
teradata,83
budget management,83
apache kafka,83
continuous learning,83
configuration management,82
gis,82
patient care,82
ec2,82
reports,82
